timestamp,score,is_alert,severity
2026-04-19 11:46:39.996999979,5.8204829402299065,0,low
2026-04-19 11:46:54.996999979,5.945049245921536,0,low
2026-04-19 11:47:09.996999979,4.78534873440655,0,low
2026-04-19 11:47:24.996999979,2.829960450920023,0,low
2026-04-19 11:47:39.996999979,3.2969336713451867,0,low
2026-04-19 11:47:54.996999979,3.018756018516811,0,low
2026-04-19 11:48:09.996999979,3.1800054994525664,0,low
2026-04-19 11:48:24.996999979,2.1270754919045594,0,low
2026-04-19 11:48:39.996999979,3.2803115921911727,0,low
2026-04-19 11:48:54.996999979,3.1836627531897954,0,low
2026-04-19 11:49:09.996999979,3.1835138155161995,0,low
2026-04-19 11:49:24.996999979,2.7917934371295505,0,low
2026-04-19 11:49:39.996999979,3.059986153283843,0,low
2026-04-19 11:49:54.996999979,3.1987388095327516,0,low
2026-04-19 11:50:09.996999979,3.2696295794773094,0,low
2026-04-19 11:50:24.996999979,2.673954876917114,0,low
2026-04-19 11:50:39.996999979,3.519798508794026,0,low
2026-04-19 11:50:54.996999979,3.607234985784025,0,low
2026-04-19 11:51:09.996999979,3.7883295694343504,0,low
2026-04-19 11:51:24.996999979,2.5743910635937794,0,low
2026-04-19 11:51:39.996999979,2.487977885105602,0,low
2026-04-19 11:51:54.996999979,2.3070672050038716,0,low
2026-04-19 11:52:09.996999979,2.2810933204440467,0,low
2026-04-19 11:52:24.996999979,1.8749036600637867,0,low
2026-04-19 11:52:39.996999979,2.0824055655046916,0,low
2026-04-19 11:52:54.996999979,2.635960410973518,0,low
2026-04-19 11:53:09.996999979,2.7922598569878625,0,low
2026-04-19 11:53:24.996999979,1.954423060943423,0,low
2026-04-19 11:53:39.996999979,2.0881080594272188,0,low
2026-04-19 11:53:54.996999979,2.0360057875771167,0,low
2026-04-19 11:54:09.996999979,2.1115455395936036,0,low
2026-04-19 11:54:24.996999979,1.7102706563220536,0,low
2026-04-19 11:54:39.996999979,2.400362955777937,0,low
2026-04-19 11:54:54.996999979,2.3521058059254725,0,low
2026-04-19 11:55:09.996999979,2.4413607711737515,0,low
2026-04-19 11:55:24.996999979,2.239525783298944,0,low
2026-04-19 11:55:39.996999979,3.0328301172447034,0,low
2026-04-19 11:55:54.996999979,2.9708720101906456,0,low
2026-04-19 11:56:09.996999979,3.0602113185858153,0,low
2026-04-19 11:56:24.996999979,2.6963435116692955,0,low
2026-04-19 11:56:39.996999979,3.0296795227525175,0,low
2026-04-19 11:56:54.996999979,3.2596730508894916,0,low
2026-04-19 11:57:09.996999979,3.33062173132392,0,low
2026-04-19 11:57:24.996999979,2.4918900801570745,0,low
2026-04-19 11:57:39.996999979,2.772818764775015,0,low
2026-04-19 11:57:54.996999979,2.7436991158935204,0,low
2026-04-19 11:58:09.996999979,2.875524592733663,0,low
2026-04-19 11:58:24.996999979,1.8257148784681243,0,low
2026-04-19 11:58:39.996999979,3.0735944200292686,0,low
2026-04-19 11:58:54.996999979,3.4252077298186876,0,low
2026-04-19 11:59:09.996999979,3.52983954620939,0,low
2026-04-19 11:59:24.996999979,3.1585825517767487,0,low
2026-04-19 11:59:39.996999979,3.6819907202229505,0,low
2026-04-19 11:59:54.996999979,3.6751864434462735,0,low
2026-04-19 12:00:09.996999979,3.864196703937959,0,low
2026-04-19 12:00:24.996999979,3.5408140461859667,0,low
2026-04-19 12:00:39.996999979,4.517934944373806,0,low
2026-04-19 12:00:54.996999979,4.859801533390766,0,low
2026-04-19 12:01:09.996999979,5.015903618110978,0,low
2026-04-19 12:01:24.996999979,3.8167117852602663,0,low
2026-04-19 12:01:39.996999979,3.9052781800926817,0,low
2026-04-19 12:01:54.996999979,3.4918115279090327,0,low
2026-04-19 12:02:09.996999979,3.5030717420806514,0,low
2026-04-19 12:02:24.996999979,2.9621799655475325,0,low
2026-04-19 12:02:39.996999979,3.3244098658317163,0,low
2026-04-19 12:02:54.996999979,3.221731047899436,0,low
2026-04-19 12:03:09.996999979,3.2979224324935386,0,low
2026-04-19 12:03:24.996999979,2.212829677739992,0,low
2026-04-19 12:03:39.996999979,2.0791573020233622,0,low
2026-04-19 12:03:54.996999979,2.2962625582300755,0,low
2026-04-19 12:04:09.996999979,2.4185129617106083,0,low
2026-04-19 12:04:24.996999979,1.72554066528254,0,low
2026-04-19 12:04:39.996999979,1.9061251549402707,0,low
2026-04-19 12:04:54.996999979,1.8975657465934637,0,low
2026-04-19 12:05:09.996999979,2.110771488884891,0,low
2026-04-19 12:05:24.996999979,1.6523141413768563,0,low
2026-04-19 12:05:39.996999979,2.018668640222749,0,low
2026-04-19 12:05:54.996999979,2.2139746797513795,0,low
2026-04-19 12:06:09.996999979,2.895378170323665,0,low
2026-04-19 12:06:24.996999979,3.1342421010965786,0,low
2026-04-19 12:06:39.996999979,4.1795440363991005,0,low
2026-04-19 12:06:54.996999979,5.006053243562998,0,low
2026-04-19 12:07:09.996999979,6.523976873316169,0,low
2026-04-19 12:07:24.996999979,7.708677030148741,0,low
2026-04-19 12:07:39.996999979,10.435531996798556,1,medium
